label,review,compound,scores,comp_score
pos,stuning  even  nongamer  sound  track  beautiful  paints  senery  mind  well  would  recomend  even  people  hate  vid  game  music  played  game  chrono  cross  games  ever  played  best  music  backs  away  crude  keyboarding  takes  fresher  step  grate  guitars  soulful  orchestras  would  impress  anyone  cares  listen,0.9062,"{'neg': 0.138, 'neu': 0.528, 'pos': 0.334, 'compound': 0.9062}",the review is positive
pos,best  soundtrack  ever  anything  I  reading  lot  reviews  saying  best  game  soundtrack  figured  I  would  write  review  disagree  bit  opinino  yasunori  mitsudas  ultimate  masterpiece  music  timeless  I  listening  years  beauty  simply  refuses  fadethe  price  tag  pretty  staggering  must  say  going  buy  cd  much  money  one  feel  would  worth  every  penny,0.9628,"{'neg': 0.039, 'neu': 0.642, 'pos': 0.319, 'compound': 0.9628}",the review is positive
pos,amazing  soundtrack  favorite  music  time  hands  intense  sadness  prisoners  fate  means  played  game  hope  distant  promise  girl  stole  star  important  inspiration  personally  throughout  teen  years  higher  energy  tracks  like  chrono  cross  times  scar  time  dreamwatch  chronomantique  indefinably  remeniscent  chrono  trigger  absolutely  superb  wellthis  soundtrack  amazing  music  probably  best  composers  work  heard  xenogears  soundtrack  say  sure  even  never  played  game  would  worth  twice  price  buy  iti  wish  could  give  6  stars,0.9868,"{'neg': 0.079, 'neu': 0.49, 'pos': 0.431, 'compound': 0.9868}",the review is positive
pos,excellent  soundtrack  truly  like  soundtrack  enjoy  video  game  music  played  game  music  enjoy  truly  relaxing  peacefulon  disk  one  favorites  scars  time  life  death  forest  illusion  fortress  ancient  dragons  lost  fragment  drowned  valleydisk  two  draggons  galdorb  home  chronomantique  prisoners  fate  gale  girlfriend  likes  zelbessdisk  three  best  three  garden  god  chronopolis  fates  jellyfish  sea  burning  orphange  dragons  prayer  tower  stars  dragon  god  radical  dreamers  unstealable  jeweloverall  excellent  soundtrack  brought  like  video  game  musicxander  cross,0.9814,"{'neg': 0.121, 'neu': 0.479, 'pos': 0.4, 'compound': 0.9814}",the review is positive
pos,remember  pull  jaw  floor  hearing  played  game  know  divine  music  every  single  song  tells  story  game  good  greatest  songs  without  doubt  chrono  cross  times  scar  magical  dreamers  wind  stars  sea  radical  dreamers  unstolen  jewel  translation  varies  music  perfect  ask  best  yasunori  mitsuda  poured  heart  wrote  paper,0.9831,"{'neg': 0.0, 'neu': 0.554, 'pos': 0.446, 'compound': 0.9831}",the review is positive
pos,absolute  masterpiece  quite  sure  actually  taking  time  read  played  game  least  heard  least  tracks  whether  aware  mitsudas  music  contributed  greatly  mood  every  single  minute  whole  gamecomposed  3  cds  quite  songs  exact  count  heartrendering  impressively  remarkable  soundtrack  one  assure  forget  everything  every  listener  fastpaced  energetic  dancing  tokage  termina  home  slower  haunting  dragon  god  purely  beautifully  composed  times  scar  even  fantastic  vocals  radical  dreamersthis  one  best  videogame  soundtracks  surely  mitsudas  best  ever,0.9899,"{'neg': 0.04, 'neu': 0.545, 'pos': 0.416, 'compound': 0.9899}",the review is positive
neg,buyer  beware  selfpublished  book  want  know  whyread  paragraphs  5  star  reviews  must  written  ms  haddons  family  friendsor  perhaps  imagine  anyone  reading  whole  thingi  spent  evening  book  friend  hysterics  reading  bits  pieces  one  another  definitely  bad  enough  entered  kind  worst  book  contest  believe  amazon  even  sells  kind  thing  maybe  offer  8th  grade  term  paper  kill  mockingbirda  book  quite  sure  ms  haddon  never  heard  anyway  unless  mood  send  book  someone  jokestay  far  far  away  one,0.0498,"{'neg': 0.158, 'neu': 0.65, 'pos': 0.192, 'compound': 0.0498}",the review is positive
pos,glorious  story  loved  whisper  wicked  saints  story  amazing  pleasantly  surprised  changes  book  normaly  someone  romance  novels  world  raving  book  bought  loved  brilliant  story  true  book  wonderful  told  friends  read  typical  romance  much  reading  book  crime  becuase  missing  heart  warming  story,0.9899,"{'neg': 0.115, 'neu': 0.29, 'pos': 0.595, 'compound': 0.9899}",the review is positive
pos,five  star  book  finished  reading  whisper  wicked  saints  fell  love  caracters  expected  average  romance  read  instead  found  one  favorite  books  time  thought  could  predict  outcome  shocked  writting  descriptive  heart  broke  julias  felt  instead  distant  reader  lover  romance  novels  must  read  let  cover  fool  book  spectacular,0.9186,"{'neg': 0.166, 'neu': 0.509, 'pos': 0.326, 'compound': 0.9186}",the review is positive
pos,whispers  wicked  saints  easy  read  book  made  want  keep  reading  easy  put  downit  left  wanting  read  follow  hope  coming  soon  used  read  lot  gotten  away  book  made  want  read  enjoyable,0.8316,"{'neg': 0.084, 'neu': 0.567, 'pos': 0.35, 'compound': 0.8316}",the review is positive
